rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,6b506c00-8ca5-4f8c-b3b1-2e94eb1ca16f,0.9997653727436446
8aff426d-b8c0-43aa-ad26-835ef4de6129,87ba0db6-dcd7-419a-b043-d32652eb4c05,0.9994588550440728
8aff426d-b8c0-43aa-ad26-835ef4de6129,3b00dedd-fcb8-4d71-9ffb-40b92b6cdfe7,0.9978826844720915
37e624be-b125-464f-85b6-1838530193ef,a3f38767-02ae-4990-be18-35ca819684a7,0.6374828039993202
37e624be-b125-464f-85b6-1838530193ef,56c75e72-50ae-4e29-aea4-f6394e1d986b,0.6374828039993202
37e624be-b125-464f-85b6-1838530193ef,bb478e1f-f424-4bc5-9c2e-37c69bd97f24,0.6021722879042372
b8257184-6307-46ab-b06e-d979336d1263,ceb7c087-e841-483e-8231-11e436c9e04c,0.7891338489139561
b8257184-6307-46ab-b06e-d979336d1263,9e9de727-c98b-445d-8d95-06c5f74a5516,0.7866361957992909
b8257184-6307-46ab-b06e-d979336d1263,24682f82-8800-42d6-974c-745383c184d7,0.7492528467466544
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.9975923253948098
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.9718089701583876
63140d1f-dda8-40fe-8931-bcaba65d5772,ba7f2899-836c-4189-8f40-756f176d3963,0.7308039498318734
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.9857788002304998
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.9718089701583876
11cffc57-44be-4d79-bfd5-97482be566d3,ba7f2899-836c-4189-8f40-756f176d3963,0.6863999991600066
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.9975923253948098
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.9857788002304998
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,ba7f2899-836c-4189-8f40-756f176d3963,0.7235694146764268
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.7999999999999998
973d80a1-f1b8-461b-bb25-7d8852968b1c,0777b4fd-292a-439b-848f-d772ee28c3b8,0.5999787769278309
